premise,hypothesis,lila_label,lila_script
"Jeff has 252 ounces of peanut butter in 16, 28.","Jeff has more than 252 ounces of peanut butter in 16, 28.",contradiction,"quantity_of_butter_jack_has_s1 = 252
quantity_of_butter_jack_has_s2 = 0
quantity_of_butter_jack_has_s2 < 252

if quantity_of_butter_jack_has_s1 is None or quantity_of_butter_jack_has_s2 is None:
    print(""Neutral"")
elif quantity_of_butter_jack_has_s1 < quantity_of_butter_jack_has_s2 :
    print(""Entailment"")
elif quantity_of_butter_jack_has_s1 != quantity_of_butter_jack_has_s2 :
    print(""Contradiction"")"
Joe’s average (arithmetic mean) test score across 4 equally weighted tests was 40.,Joe’s average (arithmetic mean) test score across less than 5 equally weighted tests was 40.,Entailment,"joes_average_in_test_s1 = 40
joes_average_in_test_s2 = 0
joes_average_in_test_s2 < 5

if joes_average_in_test_s1 is None or joes_average_in_test_s2 is None:
    print(""Neutral"")
elif joes_average_in_test_s1 > joes_average_in_test_s2 :
    print(""Entailment"")
elif joes_average_in_test_s1 != joes_average_in_test_s2 :
    print(""Contradiction"")"
What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is 10:5?,What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is less than 30:5?,Entailment,"joes_average_in_test_s1 = 40
joes_average_in_test_s2 = 0
joes_average_in_test_s2 < 5

if joes_average_in_test_s1 is None or joes_average_in_test_s2 is None:
    print(""Neutral"")
elif joes_average_in_test_s1 > joes_average_in_test_s2 :
    print(""Entailment"")
elif joes_average_in_test_s1 != joes_average_in_test_s2 :
    print(""Contradiction"")"
"Keith picked 47.0 pears, and Mike picked 12.0 pears from the pear tree and Keith gave away 46.0 pears.",Mike has 13.0 pears left.,Entailment,"total_piers_keith_has_s1 = 47+12-46
total_piers_keith_has_s2 = 13

if total_piers_keith_has_s1 is None or total_piers_keith_has_s2 is None:
    print(""Neutral"")
elif total_piers_keith_has_s1 == total_piers_keith_has_s2 :
    print(""Entailment"")
elif total_piers_keith_has_s1 != total_piers_keith_has_s2 :
    print(""Contradiction"")"
"Sam earns $6.00 per hour for the first more than 10 hours he works per week, and twice this rate for overtime.","Sam earns $6.00 per hour for the first 60 hours he works per week, and twice this rate for overtime.",neutral,"number_of_hours_sam_works_s1 = 0
number_of_hours_sam_works_s1 > 10
number_of_hours_sam_works_s2 = 60

number_of_hours_sam_works_s1 = None
number_of_hours_sam_works_s2 = None

if number_of_hours_sam_works_s1 is None or number_of_hours_sam_works_s2 is None:
   print(""Neutral"")
elif number_of_hours_sam_works_s1 > number_of_hours_sam_works_s2 :
  print(""Entailment"")
elif number_of_hours_sam_works_s1 != number_of_hours_sam_works_s2 :
  print(""Contradiction"")"
"Susan, John, Daisy, Tim and Kim need to be seated in 5 identical chairs in straight line so that Susan is seated always left to Tim.","Susan, John, Daisy, Tim and Kim need to be seated in more than 4 identical chairs in straight line so that Susan is seated always left to Tim.",Entailment,"number_of_chairs_s1 = 5
number_of_chairs_s2 = 0
number_of_chairs_s2 > 4

if number_of_chairs_s1 is None or number_of_chairs_s2 is None:
    print(""Neutral"")
elif number_of_chairs_s1 > number_of_chairs_s2 :
    print(""Entailment"")
elif number_of_chairs_s1 != number_of_chairs_s2 :
    print(""Contradiction"")"
Find the area of a rectangular field if John walking at the speed of less than 78 m/min took 20 seconds to cross the field diagonally and Harry walking at a speed of 72 m/min took 15 seconds to cross the field along its sides.,Find the area of a rectangular field if John walking at the speed of 48 m/min took 20 seconds to cross the field diagonally and Harry walking at a speed of 72 m/min took 15 seconds to cross the field along its sides.,neutral,"speed_of_john_s1 = 0
speed_of_john_s1 < 78
speed_of_john_s2 = 48

speed_of_john_s1 = None
speed_of_john_s2 = None

if speed_of_john_s1 is None or speed_of_john_s2 is None:
   print(""Neutral"")
elif speed_of_john_s1 > speed_of_john_s2 :
  print(""Entailment"")
elif speed_of_john_s1 != speed_of_john_s2 :
  print(""Contradiction"")"
The product of the ages of Syam and Sunil is 240.,The product of the ages of Syam and Sunil is less than 540.,Entailment,"number_of_chairs_s1 = 240
number_of_chairs_s2 = 0
number_of_chairs_s2 < 540

if number_of_chairs_s1 is None or number_of_chairs_s2 is None:
    print(""Neutral"")
elif number_of_chairs_s1 > number_of_chairs_s2 :
    print(""Entailment"")
elif number_of_chairs_s1 != number_of_chairs_s2 :
    print(""Contradiction"")"
In another class of less than 600 students there were 19 grades higher than Angela’s.,In another class of 100 students there were 19 grades higher than Angela’s.,neutral,"speed_of_john_s1 = 0
speed_of_john_s1 < 78
speed_of_john_s2 = 48

speed_of_john_s1 = None
speed_of_john_s2 = None

if speed_of_john_s1 is None or speed_of_john_s2 is None:
   print(""Neutral"")
elif speed_of_john_s1 > speed_of_john_s2 :
  print(""Entailment"")
elif speed_of_john_s1 != speed_of_john_s2 :
  print(""Contradiction"")"
"Calculate the average mark scored by Adam if he had the following scores in an examination:more than 15, 67, 52, 69, 56, 62, and 59 marks (out in 100) in Spanish Language, Mathematics, Biology, Physics, French Language, Fine art and Chemistry respectively?","Calculate the average mark scored by Adam if he had the following scores in an examination:85, 67, 52, 69, 56, 62, and 59 marks (out in 100) in Spanish Language, Mathematics, Biology, Physics, French Language, Fine art and Chemistry respectively?",neutral,"average_marks_scored_by_adam_s1 = 0
average_marks_scored_by_adam_s1 < 15
average_marks_scored_by_adam_s2 = 85

average_marks_scored_by_adam_s1 = None
average_marks_scored_by_adam_s2 = None

if average_marks_scored_by_adam_s1 is None or average_marks_scored_by_adam_s2 is None:
   print(""Neutral"")
elif average_marks_scored_by_adam_s1 > average_marks_scored_by_adam_s2 :
  print(""Entailment"")
elif average_marks_scored_by_adam_s1 != average_marks_scored_by_adam_s2 :
  print(""Contradiction"")"
"George had 28.0 socks, and he threw away 4.0 old ones that didn't fit and bought 36.0 new ones.",He would have 60.0 socks.,Entailment,"number_of_socks_george_has_s1 = 28-4+36
number_of_socks_george_has_s2 = 60

if number_of_socks_george_has_s1 is None or number_of_socks_george_has_s2 is None:
    print(""Neutral"")
elif number_of_socks_george_has_s1 == number_of_socks_george_has_s2 :
    print(""Entailment"")
elif number_of_socks_george_has_s1 != number_of_socks_george_has_s2 :
    print(""Contradiction"")"
"About 30,000 people from South Ossetia headed to North Ossetia in Russia, Redmond said, citing Russian numbers.","Russian figures in N. Ossetia show 30,000 people entered from S. Ossetia.",Entailment,"total_people_headed_to_russia_s1 = 30000
number_of_people_showed = 30000

if total_people_headed_to_russia_s1 is None or number_of_people_showed is None:
    print(""Neutral"")
elif total_people_headed_to_russia_s1 == number_of_people_showed :
    print(""Entailment"")
elif total_people_headed_to_russia_s1 != number_of_people_showed :
    print(""Contradiction"")"
"A report from UNAIDS, the Joint United Nations Program on HIV/AIDS, released on Tuesday, shows the number of adults and children living with HIV reached 39.4 million in 2004.",There is an estimated 39.4 million people living with HIV.,Entailment,"number_of_people_with_hiv_s1 = 39.4
number_of_people_with_hiv_s2 = 39.4

if number_of_people_with_hiv_s1 is None or number_of_people_with_hiv_s2 is None:
    print(""Neutral"")
elif number_of_people_with_hiv_s1 == number_of_people_with_hiv_s2 :
    print(""Entailment"")
elif number_of_people_with_hiv_s1 != number_of_people_with_hiv_s2 :
    print(""Contradiction"")"
"10% people of a village in Sri Lanka died by bombardment, 15% of the remainder left the village on account of fear.","less than 70% people of a village in Sri Lanka died by bombardment, 15% of the remainder left the village on account of fear.",Entailment,"number_of_people_died_by_bombardment_s1 = 10
number_of_people_died_by_bombardment_s2 = 0
number_of_people_died_by_bombardment_s2 < 70

if number_of_people_died_by_bombardment_s1 is None or number_of_people_died_by_bombardment_s2 is None:
    print(""Neutral"")
elif number_of_people_died_by_bombardment_s1 == number_of_people_died_by_bombardment_s2 :
    print(""Entailment"")
elif number_of_people_died_by_bombardment_s1 != number_of_people_died_by_bombardment_s2 :
    print(""Contradiction"")"
"If the next three flights departed on-time, how many subsequent flights need to depart from Phoenix on-time, for the airport's on-time departure rate to be higher than 60%? I will see what is the quickest way to solve it then I will provide the explanation.","If the next three flights departed on-time, how many subsequent flights need to depart from Phoenix on-time, for the airport's on-time departure rate to be higher than more than 60%? I will see what is the quickest way to solve it then I will provide the explanation.",contradiction,"quantity_of_butter_jack_has_s1 = 252
quantity_of_butter_jack_has_s2 = 0
quantity_of_butter_jack_has_s2 < 252

if quantity_of_butter_jack_has_s1 is None or quantity_of_butter_jack_has_s2 is None:
    print(""Neutral"")
elif quantity_of_butter_jack_has_s1 < quantity_of_butter_jack_has_s2 :
    print(""Entailment"")
elif quantity_of_butter_jack_has_s1 != quantity_of_butter_jack_has_s2 :
    print(""Contradiction"")"
Bruce and Anne can clean their house in 4 hours working together at their respective constant rates.,Bruce and Anne can clean their house in less than 7 hours working together at their respective constant rates.,Entailment,"time_taken_to_clean_house_s1 = 4
time_taken_to_clean_house_s2 = 0
time_taken_to_clean_house_s2 < 7

if time_taken_to_clean_house_s1 is None or time_taken_to_clean_house_s2 is None:
    print(""Neutral"")
elif time_taken_to_clean_house_s1 > time_taken_to_clean_house_s2 :
    print(""Entailment"")
elif time_taken_to_clean_house_s1 != time_taken_to_clean_house_s2 :
    print(""Contradiction"")"
He successfully married his girlfriend Diana after 1/7 more of his life.,He successfully married his girlfriend Diana after more than 1/7 more of his life.,contradiction,"quantity_of_butter_jack_has_s1 = 252
quantity_of_butter_jack_has_s2 = 0
quantity_of_butter_jack_has_s2 < 252

if quantity_of_butter_jack_has_s1 is None or quantity_of_butter_jack_has_s2 is None:
    print(""Neutral"")
elif quantity_of_butter_jack_has_s1 < quantity_of_butter_jack_has_s2 :
    print(""Entailment"")
elif quantity_of_butter_jack_has_s1 != quantity_of_butter_jack_has_s2 :
    print(""Contradiction"")"
AB = 10 and EC = 20.,AB = less than 60 and EC = 20.,Entailment,"length_of_side_s1 = 10
length_of_side_s2 = 0
length_of_side_s2 < 60

if length_of_side_s1 is None or length_of_side_s2 is None:
    print(""Neutral"")
elif length_of_side_s1 > length_of_side_s2 :
    print(""Entailment"")
elif length_of_side_s1 != length_of_side_s2 :
    print(""Contradiction"")"
"Kellogg's ended its Michael Phelps endorsement, so it sent two tons of cereal with his face on it to a food bank.",Kellogg's donated two tons of cereal to the San Francisco Food Bank.,Entailment,"donated_cereal_s1 = 2
donated_cereal_s2 = 2

if donated_cereal_s1 is None or donated_cereal_s2 is None:
    print(""Neutral"")
elif donated_cereal_s1 > donated_cereal_s2 :
    print(""Entailment"")
elif donated_cereal_s1 != donated_cereal_s2 :
    print(""Contradiction"")"
There are 2.0 pencils in the drawer and Tim placed 3.0 pencils in the drawer.,2.0 pencils are now there in total.,contradiction,"total_pencils_s1 = 2 + 3
total_pencils_s2 = 2

if total_pencils_s1 is None or total_pencils_s2 is None:
    print(""Neutral"")
elif total_pencils_s1 < total_pencils_s2 :
    print(""Entailment"")
elif total_pencils_s1 != total_pencils_s2 :
    print(""Contradiction"")"
Shawn invested one half of his savings in a bond that paid simple interest for 2 years (20% per anum) and received $600 as interest.,Shawn invested one half of his savings in a bond that paid simple interest for less than 5 years (20% per anum) and received $600 as interest.,Entailment,"number_of_years_amount_invested_for_s1 = 2
number_of_years_amount_invested_for_s2 = 0
number_of_years_amount_invested_for_s2 < 5

if number_of_years_amount_invested_for_s1 is None or number_of_years_amount_invested_for_s2 is None:
    print(""Neutral"")
elif number_of_years_amount_invested_for_s1 > number_of_years_amount_invested_for_s2 :
    print(""Entailment"")
elif number_of_years_amount_invested_for_s1 != number_of_years_amount_invested_for_s2  :
    print(""Contradiction"")"
"'' The letters were escalating in demands until they reached the $50,000 figure.","Spokesman:Letters escalated '' in demands until they reached the $50,000 figure''",Entailment,"figure_s1 = 2
figure_s2 = 2

if figure_s1 is None or figure_s2 is None:
    print(""Neutral"")
elif figure_s1 == figure_s2 :
    print(""Entailment"")
elif figure_s1 != figure_s2 :
    print(""Contradiction"")"
14.0 birds were sitting in a tree and 21.0 more birds flew up to the tree.,35.0 birds were there altogether in the tree.,Entailment,"total_birds_s1 = 14+21
total_birds_s2 = 35

if total_birds_s1 is None or total_birds_s2 is None:
    print(""Neutral"")
elif total_birds_s1 == total_birds_s2 :
    print(""Entailment"")
elif total_birds_s1 != total_birds_s2 :
    print(""Contradiction"")"
"Sarah signed 1/2 of the Christmas cards, and Richard signed 3/8 of them.","Sarah signed 6/2 of the Christmas cards, and Richard signed 3/8 of them.",contradiction,"number_of_cards_sarah_signed_s1 = 1/2
number_of_cards_sarah_signed_s2 = 6/2

if number_of_cards_sarah_signed_s1 is None or number_of_cards_sarah_signed_s2 is None:
    print(""Neutral"")
elif number_of_cards_sarah_signed_s1 > number_of_cards_sarah_signed_s2 :
    print(""Entailment"")
elif number_of_cards_sarah_signed_s1 != number_of_cards_sarah_signed_s2 :
    print(""Contradiction"")"
1035.0 pounds of oranges are in 45.0 bags.,Each bag contains 23.0 pounds of oranges.,Entailment,"quantity_of_oranfge_s1 = 1035/45
quantity_of_oranfge_s2 = 23

if quantity_of_oranfge_s1 is None or quantity_of_oranfge_s2 is None:
    print(""Neutral"")
elif quantity_of_oranfge_s1 == quantity_of_oranfge_s2 :
    print(""Entailment"")
elif quantity_of_oranfge_s1 != quantity_of_oranfge_s2 :
    print(""Contradiction"")"
Dana borrows less than 8000 pounds annually for her college education.,Dana borrows 6000 pounds annually for her college education.,neutral,"amount_dana_borrowed_s1 = 0
amount_dana_borrowed_s2 = 78

amount_dana_borrowed_s1 = None
amount_dana_borrowed_s2 = None

if amount_dana_borrowed_s1 is None or amount_dana_borrowed_s2 is None:
   print(""Neutral"")
elif amount_dana_borrowed_s1 == amount_dana_borrowed_s2 :
  print(""Entailment"")
elif amount_dana_borrowed_s1 != amount_dana_borrowed_s2 :
  print(""Contradiction"")"
"Fifty-two percent'' favor'' the war in Afghanistan, with 46 percent in opposition.",A majority of those polled -- 52 percent --'' favor'' the war in Afghanistan.,Entailment,"people_supporting_the_war_s1 = 52
people_supporting_the_war_s2 = 52

if people_supporting_the_war_s1 is None or people_supporting_the_war_s2 is None:
    print(""Neutral"")
elif people_supporting_the_war_s1 == people_supporting_the_war_s2 :
    print(""Entailment"")
elif people_supporting_the_war_s1 != people_supporting_the_war_s2 :
    print(""Contradiction"")"
90 students represent x percent of the boys at Jones Elementary School.,more than 60 students represent x percent of the boys at Jones Elementary School.,Entailment,"number_of_students_s1 = 90
number_of_students_s2 = 0
number_of_students_s2 > 52

if number_of_students_s1 is None or number_of_students_s2 is None:
    print(""Neutral"")
elif number_of_students_s1 > number_of_students_s2 :
    print(""Entailment"")
elif number_of_students_s1 != number_of_students_s2 :
    print(""Contradiction"")"
"In one day, Juan sends Keith three times as many messages as he sends Laurence, and Laurence sends Missy 5 times as many messages as he receives from Juan.","In one day, Juan sends Keith three times as many messages as he sends Laurence, and Laurence sends Missy 6 times as many messages as he receives from Juan.",contradiction,"number_of_message_laurence_sends_s1 = 5
number_of_message_laurence_sends_s2 = 6

if number_of_message_laurence_sends_s1 is None or number_of_message_laurence_sends_s2 is None:
    print(""Neutral"")
elif number_of_message_laurence_sends_s1 > number_of_message_laurence_sends_s2 :
    print(""Entailment"")
elif number_of_message_laurence_sends_s1 != number_of_message_laurence_sends_s2 :
    print(""Contradiction"")"
"After his release, the clean-shaven Magdy el-Nashar told reporters outside his home that he had nothing to do with the July 7 transit attacks, which killed 52 people and the four bombers.",52 people and four bombers were killed on July 7.,Entailment,"number_of_people_died_s1 = 52
number_of_people_died_s2 = 52

if number_of_people_died_s1 is None or number_of_people_died_s2 is None:
    print(""Neutral"")
elif number_of_people_died_s1 == number_of_people_died_s2 :
    print(""Entailment"")
elif number_of_people_died_s1 != number_of_people_died_s2 :
    print(""Contradiction"")"
Benjamin skated 80.0 kilometers at 10.0 kilometers per hour.,Benjamin skated for 10.0 hours.,contradiction,"number_of_message_laurence_sends_s1 = 5
number_of_message_laurence_sends_s2 = 6

if number_of_message_laurence_sends_s1 is None or number_of_message_laurence_sends_s2 is None:
    print(""Neutral"")
elif number_of_message_laurence_sends_s1 > number_of_message_laurence_sends_s2 :
    print(""Entailment"")
elif number_of_message_laurence_sends_s1 != number_of_message_laurence_sends_s2 :
    print(""Contradiction"")"
"Dacid obtained 96, 95, 82, 97 and 95 marks (out of 100) in English, Mathematics, Physics, Chemistry and Biology.","Dacid obtained more than 46, 95, 82, 97 and 95 marks (out of 100) in English, Mathematics, Physics, Chemistry and Biology.",Entailment,"marks_obtained_by_davic_s1 = 96
marks_obtained_by_davic_s2 = 0
marks_obtained_by_davic_s2 > 46

if marks_obtained_by_davic_s1 is None or marks_obtained_by_davic_s2 is None:
    print(""Neutral"")
elif marks_obtained_by_davic_s1 > marks_obtained_by_davic_s2 :
    print(""Entailment"")
elif marks_obtained_by_davic_s1 != marks_obtained_by_davic_s2 :
    print(""Contradiction"")"
"The average number of shirts with Salman, Ambani and Dalmiya is 60, if all of them reached a shopping mall in Delhi and purchased 2 shirts each of them then average number of shirt each of them now has.","The average number of shirts with Salman, Ambani and Dalmiya is 70, if all of them reached a shopping mall in Delhi and purchased 2 shirts each of them then average number of shirt each of them now has.",contradiction,"average_of_number_of_shirts_s1 = 5
average_of_number_of_shirts_s2 = 6

if average_of_number_of_shirts_s1 is None or average_of_number_of_shirts_s2 is None:
    print(""Neutral"")
elif average_of_number_of_shirts_s1 > average_of_number_of_shirts_s2 :
    print(""Entailment"")
elif average_of_number_of_shirts_s1 != average_of_number_of_shirts_s2 :
    print(""Contradiction"")"
"Tom drives from town W to town B, driving at a constant speed of 60 miles per hour.","Tom drives from town W to town B, driving at a constant speed of more than 40 miles per hour.",Entailment,"speed_of_tom_s1 = 60
speed_of_tom_s2= 0
speed_of_tom_s2 > 40

if speed_of_tom_s1 is None or speed_of_tom_s2 is None:
    print(""Neutral"")
elif speed_of_tom_s1 > speed_of_tom_s2:
    print(""Entailment"")
elif speed_of_tom_s1 != speed_of_tom_s2:
    print(""Contradiction"")"
Tommy has 60.0 balloons and his mom gave him 34.0 balloons for his birthday.,Tommy has 94.0 balloons now.,Entailment,"number_of_ballons_tom_has_s1 = 60+34
number_of_ballons_tom_has_s2 = 94

if number_of_ballons_tom_has_s1 is None or number_of_ballons_tom_has_s2 is None:
    print(""Neutral"")
elif number_of_ballons_tom_has_s1 == number_of_ballons_tom_has_s2 :
    print(""Entailment"")
elif number_of_ballons_tom_has_s1 != number_of_ballons_tom_has_s2 :
    print(""Contradiction"")"
Mary is 14 years younger than Albert.,Mary is less than 24 years younger than Albert.,Entailment,"number_of_years_mery_is_younger_than_albert_s1 = 60+34
number_of_years_mery_is_younger_than_albert_s1 = 0
number_of_years_mery_is_younger_than_albert_s1 < 24

if number_of_years_mery_is_younger_than_albert_s1 is None or number_of_years_mery_is_younger_than_albert_s1 is None:
    print(""Neutral"")
elif number_of_years_mery_is_younger_than_albert_s1 < number_of_years_mery_is_younger_than_albert_s1 :
    print(""Entailment"")
elif number_of_years_mery_is_younger_than_albert_s1 != number_of_years_mery_is_younger_than_albert_s1 :
    print(""Contradiction"")"
Sally wants to bake as many cakes as possible and has less than 37 cups of milk and 18 cups of flour.,Sally wants to bake as many cakes as possible and has 27 cups of milk and 18 cups of flour.,neutral,"number_of_cups_of_milk_is_short_s1 = 37
number_of_cups_of_milk_is_short_s2 = 27

number_of_cups_of_milk_is_short_s1 = None
number_of_cups_of_milk_is_short_s2 = None

if number_of_cups_of_milk_is_short_s1 is None or number_of_cups_of_milk_is_short_s2 is None:
   print(""Neutral"")
elif number_of_cups_of_milk_is_short_s1 == number_of_cups_of_milk_is_short_s2 :
  print(""Entailment"")
elif number_of_cups_of_milk_is_short_s1 != number_of_cups_of_milk_is_short_s2 :
  print(""Contradiction"")"
Robert purchased $less than 7000 worth of US saving bonds.,Robert purchased $2000 worth of US saving bonds.,neutral,"number_of_cups_of_milk_is_short_s1 = 37
number_of_cups_of_milk_is_short_s2 = 27

number_of_cups_of_milk_is_short_s1 = None
number_of_cups_of_milk_is_short_s2 = None

if number_of_cups_of_milk_is_short_s1 is None or number_of_cups_of_milk_is_short_s2 is None:
   print(""Neutral"")
elif number_of_cups_of_milk_is_short_s1 == number_of_cups_of_milk_is_short_s2 :
  print(""Entailment"")
elif number_of_cups_of_milk_is_short_s1 != number_of_cups_of_milk_is_short_s2 :
  print(""Contradiction"")"
"A dust storm sweeps across the prairie and it covers 64535.0 acres of the prairie in the dust, and leaves 522.0 acres untouched.",65057.0 acres are in the prarie.,Entailment,"acres_untouched_s1 = 64535-522
acres_untouched_s2 = 65057

if acres_untouched_s1 is None or acres_untouched_s2 is None:
    print(""Neutral"")
elif acres_untouched_s1 < acres_untouched_s2 :
    print(""Entailment"")
elif acres_untouched_s1 != acres_untouched_s2 :
    print(""Contradiction"")"
Celtic went into the match in the Russian capital with a record of 11 straight losses on the road in the Champions League and 21 games without a win away from home.,Celtic snap away drought with superb 3-2 win in Moscow.,neutral,"number_of_cups_of_milk_is_short_s1 = 37
number_of_cups_of_milk_is_short_s2 = 27

number_of_cups_of_milk_is_short_s1 = None
number_of_cups_of_milk_is_short_s2 = None

if number_of_cups_of_milk_is_short_s1 is None or number_of_cups_of_milk_is_short_s2 is None:
   print(""Neutral"")
elif number_of_cups_of_milk_is_short_s1 == number_of_cups_of_milk_is_short_s2 :
  print(""Entailment"")
elif number_of_cups_of_milk_is_short_s1 != number_of_cups_of_milk_is_short_s2 :
  print(""Contradiction"")"
"Chang Li has pet cockroaches that multiply at the same rate every week. The first week he had less than 7, the next week he had 10, the second week he had 20, and the fourth week he had 80.","Chang Li has pet cockroaches that multiply at the same rate every week. The first week he had 5, the next week he had 10, the second week he had 20, and the fourth week he had 80.",neutral,"number_of_cockroaces_in_first_week_s1 = 0
number_of_cockroaces_in_first_week_s1 < 7
number_of_cockroaces_in_first_week_s2 = 5

number_of_cockroaces_in_first_week_s1 = None
number_of_cockroaces_in_first_week_s2 = None

if number_of_cockroaces_in_first_week_s1 is None or number_of_cockroaces_in_first_week_s2 is None:
   print(""Neutral"")
elif number_of_cockroaces_in_first_week_s1 == number_of_cockroaces_in_first_week_s2 :
  print(""Entailment"")
elif number_of_cockroaces_in_first_week_s1 != number_of_cockroaces_in_first_week_s2 :
  print(""Contradiction"")"
Jane had an average of 87 on his first 7 tests.,Jane had an average of more than 87 on his first 7 tests.,contradiction,"average_of_87_in_number_of_test_s1 = 87
average_of_87_in_number_of_test_s2 = 0
average_of_87_in_number_of_test_s2 > 7

if average_of_87_in_number_of_test_s1 is None or average_of_87_in_number_of_test_s2 is None:
    print(""Neutral"")
elif average_of_87_in_number_of_test_s1 < average_of_87_in_number_of_test_s2 :
    print(""Entailment"")
elif average_of_87_in_number_of_test_s1 != average_of_87_in_number_of_test_s2 :
    print(""Contradiction"")"
The compound interest earned by Sunil on a certain amount at the end of two years at the rate of 8% p.,The compound interest earned by Sunil on a certain amount at the end of two years at the rate of more than 5% p.,Entailment,"compound_interest_earned_by_sunil_s1 = 8
compound_interest_earned_by_sunil_s2 = 0
compound_interest_earned_by_sunil_s2 > 5

if compound_interest_earned_by_sunil_s1 is None or compound_interest_earned_by_sunil_s2 is None:
    print(""Neutral"")
elif compound_interest_earned_by_sunil_s1 > compound_interest_earned_by_sunil_s2 :
    print(""Entailment"")
elif compound_interest_earned_by_sunil_s1 != compound_interest_earned_by_sunil_s2 :
    print(""Contradiction"")"
Harkamal purchased 8 kg of grapes at the rate of 70 per kg and 9 kg of mangoes at the rate of 55 per kg.,Harkamal purchased 1 kg of grapes at the rate of 70 per kg and 9 kg of mangoes at the rate of 55 per kg.,contradiction,"quantity_of_grapes_purchased_s1 = 8
quantity_of_grapes_purchased_s2 = 1

if quantity_of_grapes_purchased_s1 is None or quantity_of_grapes_purchased_s2 is None:
    print(""Neutral"")
elif quantity_of_grapes_purchased_s1 == quantity_of_grapes_purchased_s2 :
    print(""Entailment"")
elif quantity_of_grapes_purchased_s1 != quantity_of_grapes_purchased_s2 :
    print(""Contradiction"")"
Bhajan Singh purchased 120 reams of paper at Rs 80 per ream.,Bhajan Singh purchased 820 reams of paper at Rs 80 per ream.,contradiction,"total_reams_purchased_s1 = 8
total_reams_purchased_s2 = 1

if total_reams_purchased_s1 is None or total_reams_purchased_s2 is None:
    print(""Neutral"")
elif total_reams_purchased_s1 == total_reams_purchased_s2 :
    print(""Entailment"")
elif total_reams_purchased_s1 != total_reams_purchased_s2 :
    print(""Contradiction"")"
He will be 5/3 times as old as Tom 6 years hence.,He will be more than 3/3 times as old as Tom 6 years hence.,Entailment,"number_of_times_he_is_older_s1 = 8
number_of_times_he_is_older_s2 = 0
number_of_times_he_is_older_s2 > 3/3

if number_of_times_he_is_older_s1 is None or number_of_times_he_is_older_s2 is None:
    print(""Neutral"")
elif number_of_times_he_is_older_s1 > number_of_times_he_is_older_s2 :
    print(""Entailment"")
elif number_of_times_he_is_older_s1 != number_of_times_he_is_older_s2 :
    print(""Contradiction"")"
How many different combinations of less than 8 passengers can be formed from John's 4 friends?,How many different combinations of 2 passengers can be formed from John's 4 friends?,neutral,"different_combinations_s1 = 0
different_combinations_s1 < 8
different_combinations_s2 = 2

different_combinations_s1 = None
different_combinations_s2 = None

if different_combinations_s1 is None or different_combinations_s2 is None:
   print(""Neutral"")
elif different_combinations_s1 < different_combinations_s2 :
  print(""Entailment"")
elif different_combinations_s1 != different_combinations_s2 :
  print(""Contradiction"")"
"Nicole found an orange caterpillar and a green caterpillar in her backyard and the green caterpillar was 3.0 inches long, and the orange caterpillar was 1.1666666666666667 inches long.",The green caterpillar and the orange caterpillar were 8.2 inches in total.,contradiction,"length_of_caterpillar_s1 = 3.0+1.66
length_of_caterpillar_s2 = 8.2

if length_of_caterpillar_s1 is None or length_of_caterpillar_s2 is None:
    print(""Neutral"")
elif length_of_caterpillar_s1 == length_of_caterpillar_s2 :
    print(""Entailment"")
elif length_of_caterpillar_s1 != length_of_caterpillar_s2 :
    print(""Contradiction"")"
"At Veridux Corporation, there are 200 employees.","At Veridux Corporation, there are more than 200 employees.",contradiction,"total_employees_s1 = 3.0+1.66
total_employees_s2 = 8.2

if total_employees_s1 is None or total_employees_s2 is None:
    print(""Neutral"")
elif total_employees_s1== total_employees_s2:
    print(""Entailment"")
elif total_employees_s1!= total_employees_s2:
    print(""Contradiction"")"
"Rajeev invests some money at the beginning, Lakshmi invests double the amount after more than 2 months, and Muthu invests thrice the amount after 8 months.","Rajeev invests some money at the beginning, Lakshmi invests double the amount after 6 months, and Muthu invests thrice the amount after 8 months.",neutral,"money_invested_s1 = 0
money_invested_s1 > 2
money_invested_s2 = 6

money_invested_s1 = None
money_invested_s2 = None

if money_invested_s1 is None or money_invested_s2 is None:
   print(""Neutral"")
elif money_invested_s1 < money_invested_s2:
  print(""Entailment"")
elif money_invested_s1 != money_invested_s2:
  print(""Contradiction"")"
"At Jerri’s Pet Shop, 60 cups of bird seed are used every 5 days to feed 20 parakeets.","At Jerri’s Pet Shop, more than 20 cups of bird seed are used every 5 days to feed 20 parakeets.",Entailment,"cups_of_bird_seed_s1 = 60
cups_of_bird_seed_s2 = 0
cups_of_bird_seed_s2 > 20

if cups_of_bird_seed_s1 is None or cups_of_bird_seed_s2 is None:
    print(""Neutral"")
elif cups_of_bird_seed_s1 > cups_of_bird_seed_s2:
    print(""Entailment"")
elif cups_of_bird_seed_s1 != cups_of_bird_seed_s2:
    print(""Contradiction"")"
