sample_index,generated_label,error_message,golden_label,premise,hypothesis,clean_premise,clean_hypothesis,completion
384,entailment,,entailment,Carina has 85 ounces of coffee divided into 5 - and 10 - ounce packages,Carina has more than 45 ounces of coffee divided into 5 - and 10 - ounce packages,carina has 85 ounces of coffee divided into 5 - and 10 - ounce packages,carina has more than 45 ounces of coffee divided into 5 - and 10 - ounce packages,"total_coffee_premise = 85
min_coffee_hypothesis = 45

def entailment_or_contradiction_or_neutral(total_coffee_premise, min_coffee_hypothesis):
    # the hypothesis talks about the total amount of coffee Carina has, which is also referenced in the premise
    # the hypothesis estimates the total amount of coffee to be more than 'min_coffee_hypothesis'
    # check if the hypothesis contradicts the premise by checking if the total amount of coffee from the premise is less than 'min_coffee_hypothesis'
    if total_coffee_premise < min_coffee_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(total_coffee_premise, min_coffee_hypothesis))
"
2501,contradiction,,contradiction,Aamir saves 32 % of his monthly salary,Aamir saves 12 % of his monthly salary,aamir saves 32 % of his monthly salary,aamir saves 12 % of his monthly salary,"saving_percent_premise = 32
saving_percent_hypothesis = 12

def entailment_or_contradiction_or_neutral(saving_percent_premise, saving_percent_hypothesis):
    # If Aamir saves less than what is reported in the premise, then the hypothesis contradicts the premise
    if saving_percent_hypothesis < saving_percent_premise:
        return False
    # Otherwise, there is no contradiction
    else:
        return None

print(entailment_or_contradiction_or_neutral(saving_percent_premise, saving_percent_hypothesis))
"
855,entailment,,entailment,Ben runs the second leg of the course in 53 seconds,Ben runs the second leg of the course in less than 63 seconds,ben runs the second leg of the course in 53 seconds,ben runs the second leg of the course in less than 63 seconds,"second_leg_time_premise = 53
max_second_leg_time_hypothesis = 63

def entailment_or_contradiction_or_neutral(second_leg_time_premise, max_second_leg_time_hypothesis):
    # the hypothesis refers to the time of the second leg run by Ben from the premise
    # the hypothesis estimates the running time to be less than 'max_second_leg_time_hypothesis'
    # check if the hypothesis contradicts the premise by checking if the running time in the premise is higher than 'max_second_leg_time_hypothesis'
    if second_leg_time_premise > max_second_leg_time_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(second_leg_time_premise, max_second_leg_time_hypothesis))
"
4075,neutral,,neutral,What was the difference between the total monthly salary of Arun in all the years together and Suman ' s monthly income in the year less than 6007 ?,What was the difference between the total monthly salary of Arun in all the years together and Suman ' s monthly income in the year 2007 ?,what was the difference between the total monthly salary of arun in all the years together and suman ' s monthly income in the year less than 6007 ?,what was the difference between the total monthly salary of arun in all the years together and suman ' s monthly income in the year 2007 ?,"max_year_premise = 6007
year_hypothesis = 2007

def entailment_or_contradiction_or_neutral(max_year_premise, year_hypothesis):
    # the hypothesis refers to a specific year of Suman's income mentioned in the premise
    # check if the hypothesis contradicts the premise, by checking if the year in the hypothesis is greater or equal to 'max_year_premise'
    if year_hypothesis >= max_year_premise:
        return False
    # any year less than 'max_year_premise' is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(max_year_premise, year_hypothesis))
"
5401,neutral,,neutral,"In a group of more than 30 people , 45 have visited Iceland and 33 have visited Norway","In a group of 80 people , 45 have visited Iceland and 33 have visited Norway","in a group of more than 30 people , 45 have visited iceland and 33 have visited norway","in a group of 80 people , 45 have visited iceland and 33 have visited norway","min_people_premise = 30
people_iceland_premise = 45
people_norway_premise = 33
group_people_hypothesis = 80
people_iceland_hypothesis = 45
people_norway_hypothesis = 33

def entailment_or_contradiction_or_neutral(min_people_premise, people_iceland_premise, people_norway_premise, group_people_hypothesis, people_iceland_hypothesis, people_norway_hypothesis):
    # the hypothesis refers to the same group from the premise and gives the same number of visitors for Iceland and Norway
    # the number of people in the group is more than 30 in the premise and 80 in the hypothesis
    # check if the hypothesis contradicts the premise by checking if the number of people in the group is less than 'min_people_premise'
    if group_people_hypothesis < min_people_premise:
        return False
    # check if the number of visitors to Iceland and Norway are the same as in the premise
    if people_iceland_hypothesis != people_iceland_premise or people_norway_hypothesis != people_norway_premise:
        return False
    # since the hypothesis doesn't contradict the premise and gives the same number of visitors, it is neutral
    return None

print(entailment_or_contradiction_or_neutral(min_people_premise, people_iceland_premise, people_norway_premise, group_people_hypothesis, people_iceland_hypothesis, people_norway_hypothesis))
"
1557,entailment,,entailment,Martin bought 5 packet milk at an average price ( arithmetic mean ) of 20 ¢,Martin bought more than 2 packet milk at an average price ( arithmetic mean ) of 20 ¢,martin bought 5 packet milk at an average price ( arithmetic mean ) of 20 ¢,martin bought more than 2 packet milk at an average price ( arithmetic mean ) of 20 ¢,"packets_milk_premise = 5
average_price_milk_premise = 20

min_packets_milk_hypothesis = 2
average_price_milk_hypothesis = 20

def entailment_or_contradiction_or_neutral(packets_milk_premise, average_price_milk_premise, min_packets_milk_hypothesis, average_price_milk_hypothesis):
    # the hypothesis talks about the number of milk packets and their average price, referenced also in the premise
    # check if the hypothesis contradicts the premise estimate of 'packets_milk_premise' packets, by checking if the number of packets from the hypothesis is greater than 'packets_milk_premise'
    if min_packets_milk_hypothesis > packets_milk_premise:
        return False
    # check if the hypothesis contradicts the premise estimate of 'average_price_milk_premise' cents, by checking if the average price from the hypothesis is different from 'average_price_milk_premise'
    elif average_price_milk_hypothesis != average_price_milk_premise:
        return False
    # if there is no contradiction, the hypothesis entails the premise information
    else:
        return True

print(entailment_or_contradiction_or_neutral(packets_milk_premise, average_price_milk_premise, min_packets_milk_hypothesis, average_price_milk_hypothesis))
"
4738,neutral,,neutral,There are less than 86 stations between Hyderabad and Bangalore,There are 16 stations between Hyderabad and Bangalore,there are less than 86 stations between hyderabad and bangalore,there are 16 stations between hyderabad and bangalore,"max_stations_premise = 86
stations_hypothesis = 16

def entailment_or_contradiction_or_neutral(max_stations_premise, stations_hypothesis):
    # the hypothesis talks about the number of stations between Hyderabad and Bangalore, which is also referenced in the premise
    # check if the hypothesis contradicts the premise estimate of less than 'max_stations_premise', by checking if the number of stations from the hypothesis is greater or equal to 'max_stations_premise'
    if stations_hypothesis >= max_stations_premise:
        return False
    # any number of stations less than 86 is consistent with the premise, so the hypothesis doesn't contradict but also doesn't specifically entail premise
    return None

print(entailment_or_contradiction_or_neutral(max_stations_premise, stations_hypothesis))
"
6388,neutral,,neutral,John gives you another less than 300 balls,John gives you another 100 balls,john gives you another less than 300 balls,john gives you another 100 balls,"max_balls_given_premise = 300
balls_given_hypothesis = 100

def entailment_or_contradiction_or_neutral(max_balls_given_premise, balls_given_hypothesis):
    # The hypothesis refers to the number of balls given by John in the premise
    # Check if the hypothesis contradicts the premise by checking if the number of balls given in the hypothesis is more than 'max_balls_given_premise'
    if balls_given_hypothesis > max_balls_given_premise:
        return False
    # Any number of balls less than 300 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(max_balls_given_premise, balls_given_hypothesis))
"
2553,entailment,,entailment,"If , five years from now , the sum Q of their ages will be 51 , how old is Stephanie ?","If , five years from now , the sum Q of their ages will be more than 31 , how old is Stephanie ?","if , five years from now , the sum q of their ages will be 51 , how old is stephanie ?","if , five years from now , the sum q of their ages will be more than 31 , how old is stephanie ?","age_sum_future_premise = 51
min_age_sum_future_hypothesis = 31

def entailment_or_contradiction_or_neutral(age_sum_future_premise, min_age_sum_future_hypothesis):
    # the hypothesis refers to the future sum of their ages mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if the future sum of ages reported in the premise is lower than 'min_age_sum_future_hypothesis'
    if age_sum_future_premise < min_age_sum_future_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(age_sum_future_premise, min_age_sum_future_hypothesis))
"
2634,entailment,,entailment,Alice leaves City A 30 minutes after Bob,Alice leaves City A less than 40 minutes after Bob,alice leaves city a 30 minutes after bob,alice leaves city a less than 40 minutes after bob,"leave_time_difference_premise = 30
max_leave_time_difference_hypothesis = 40

def entailment_or_contradiction_or_neutral(leave_time_difference_premise, max_leave_time_difference_hypothesis):
    # the hypothesis refers to the time difference between when Alice and Bob leave City A, mentioned in the premise
    # the hypothesis estimates the leave time difference to be less than 'max_leave_time_difference_hypothesis'
    # check if the hypothesis contradicts the premise by checking if leave time difference reported in the premise is greater than 'max_leave_time_difference_hypothesis'
    if leave_time_difference_premise > max_leave_time_difference_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(leave_time_difference_premise, max_leave_time_difference_hypothesis))
"
5396,contradiction,,contradiction,"If Alice is 100 km away from Bob at 7 am , and also 100 km away from Bob at 11 am , then how fast is Bob driving ( in kilometers per hour ) ?","If Alice is 400 km away from Bob at 7 am , and also 100 km away from Bob at 11 am , then how fast is Bob driving ( in kilometers per hour ) ?","if alice is 100 km away from bob at 7 am , and also 100 km away from bob at 11 am , then how fast is bob driving ( in kilometers per hour ) ?","if alice is 400 km away from bob at 7 am , and also 100 km away from bob at 11 am , then how fast is bob driving ( in kilometers per hour ) ?","distance_premise = 100
distance_hypothesis = 400

def entailment_or_contradiction_or_neutral(distance_premise, distance_hypothesis):
    # the hypothesis contradicts the premise if the distance mentioned in the hypothesis is different from the one mentioned in the premise
    if distance_premise != distance_hypothesis:
        return False
    # the hypothesis entails the premise if the distance mentioned in the hypothesis is the same as the one mentioned in the premise
    elif distance_premise == distance_hypothesis:
        return True
    # the hypothesis is neutral to the premise if the distance mentioned in the hypothesis is neither the same nor different from the one mentioned in the premise
    else:
        return None

print(entailment_or_contradiction_or_neutral(distance_premise, distance_hypothesis))
"
549,entailment,,entailment,Aamir saves 32 % of his monthly salary,Aamir saves less than 42 % of his monthly salary,aamir saves 32 % of his monthly salary,aamir saves less than 42 % of his monthly salary,"savings_percentage_premise = 32
max_savings_percentage_hypothesis = 42

def entailment_or_contradiction_or_neutral(savings_percentage_premise, max_savings_percentage_hypothesis):
    # the hypothesis refers to the percentage of salary savings mentioned in the premise
    # the hypothesis estimates the savings percentage to less than 'max_savings_percentage_hypothesis'
    # check if the hypothesis contradicts the premise by checking if savings percentage reported in the premise are higher than 'max_savings_percentage_hypothesis'
    if savings_percentage_premise > max_savings_percentage_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(savings_percentage_premise, max_savings_percentage_hypothesis))
"
2540,contradiction,,contradiction,"On the first day , each patient received 15 milligrams of Dosaxin","On the first day , each patient received 25 milligrams of Dosaxin","on the first day , each patient received 15 milligrams of dosaxin","on the first day , each patient received 25 milligrams of dosaxin","dosage_premise = 15
dosage_hypothesis = 25

def entailment_or_contradiction_or_neutral(dosage_premise, dosage_hypothesis):
    # the hypothesis refers to the dosage of Dosaxin given to the patients on the first day, mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if the dosage reported in the hypothesis is different from the dosage mentioned in the premise
    if dosage_hypothesis != dosage_premise:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(dosage_premise, dosage_hypothesis))
"
1432,neutral,,neutral,How many ways are there for more than 2 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and Mary wants to sit with her back on the wall ?,How many ways are there for 5 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and Mary wants to sit with her back on the wall ?,how many ways are there for more than 2 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and mary wants to sit with her back on the wall ?,how many ways are there for 5 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and mary wants to sit with her back on the wall ?,"min_males_premise = 2
females_premise = 3
males_hypothesis = 5
females_hypothesis = 3

def entailment_or_contradiction_or_neutral(min_males_premise, females_premise, males_hypothesis, females_hypothesis):
    # the hypothesis refers to the number of males and females mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if the number of males or females in the hypothesis is less than the minimum number of males or the number of females in the premise
    if males_hypothesis < min_males_premise or females_hypothesis < females_premise:
        return False
    # any number of males greater than 2 and females equal to 3 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(min_males_premise, females_premise, males_hypothesis, females_hypothesis))
"
4230,entailment,,entailment,Dan leaves City A 120 minutes after Cara,Dan leaves City A less than 420 minutes after Cara,dan leaves city a 120 minutes after cara,dan leaves city a less than 420 minutes after cara,"dan_leave_time_premise = 120
max_dan_leave_time_hypothesis = 420

def entailment_or_contradiction_or_neutral(dan_leave_time_premise, max_dan_leave_time_hypothesis):
    # the hypothesis talks about the time Dan leaves City A, referenced also in the premise
    # check if the hypothesis contradicts the premise by checking if Dan's leave time from the premise is greater than 'max_dan_leave_time_hypothesis'
    if dan_leave_time_premise > max_dan_leave_time_hypothesis:
        return False
    # any leave time less than 420 minutes is consistent with the premise, so the hypothesis entails the premise
    return True

print(entailment_or_contradiction_or_neutral(dan_leave_time_premise, max_dan_leave_time_hypothesis))
"
421,neutral,,neutral,Guna has more than 2 flavors of ice cream in him parlor,Guna has 8 flavors of ice cream in him parlor,guna has more than 2 flavors of ice cream in him parlor,guna has 8 flavors of ice cream in him parlor,"min_flavors_premise = 2
flavors_hypothesis = 8

def entailment_or_contradiction_or_neutral(min_flavors_premise, flavors_hypothesis):
    # the hypothesis talks about the number of ice cream flavors in Guna's parlor, referenced also in the premise
    # check if the hypothesis contradicts the premise estimate of more than 'min_flavors_premise', by checking if the number of flavors from the hypothesis is lower or equal to 'min_flavors_premise'
    if flavors_hypothesis <= min_flavors_premise:
        return False
    # any number of flavors greater than 2 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(min_flavors_premise, flavors_hypothesis))
"
6216,entailment,,entailment,There are 25 stations between Delhi and Chennai,There are less than 85 stations between Delhi and Chennai,there are 25 stations between delhi and chennai,there are less than 85 stations between delhi and chennai,"stations_premise = 25
max_stations_hypothesis = 85

def entailment_or_contradiction_or_neutral(stations_premise, max_stations_hypothesis):
    # the hypothesis refers to the number of stations between Delhi and Chennai mentioned in the premise
    # the hypothesis estimates the stations to be less than 'max_stations_hypothesis'
    # check if the hypothesis contradicts the premise by checking if stations reported in the premise are more than 'max_stations_hypothesis'
    if stations_premise > max_stations_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(stations_premise, max_stations_hypothesis))
"
2085,entailment,,entailment,"Jessica can text 85 words per minute , while Maurice can text 55 words per minute","Jessica can text more than 25 words per minute , while Maurice can text 55 words per minute","jessica can text 85 words per minute , while maurice can text 55 words per minute","jessica can text more than 25 words per minute , while maurice can text 55 words per minute","jessica_texting_speed_premise = 85
maurice_texting_speed_premise = 55
min_jessica_texting_speed_hypothesis = 25
maurice_texting_speed_hypothesis = 55

def entailment_or_contradiction_or_neutral(jessica_texting_speed_premise, maurice_texting_speed_premise, min_jessica_texting_speed_hypothesis, maurice_texting_speed_hypothesis):
    # the hypothesis refers to the texting speeds of Jessica and Maurice mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if Jessica's texting speed reported in the premise is lower than 'min_jessica_texting_speed_hypothesis'
    if jessica_texting_speed_premise < min_jessica_texting_speed_hypothesis:
        return False
    # check if the hypothesis contradicts the premise by checking if Maurice's texting speed reported in the premise is not equal to 'maurice_texting_speed_hypothesis'
    if maurice_texting_speed_premise != maurice_texting_speed_hypothesis:
        return False
    # if there is no contradiction, the hypothesis is entailed by the premise
    return True

print(entailment_or_contradiction_or_neutral(jessica_texting_speed_premise, maurice_texting_speed_premise, min_jessica_texting_speed_hypothesis, maurice_texting_speed_hypothesis))
"
2172,entailment,,entailment,John has 10 pairs of matched socks,John has less than 60 pairs of matched socks,john has 10 pairs of matched socks,john has less than 60 pairs of matched socks,"matched_socks_pairs_premise = 10
max_matched_socks_pairs_hypothesis = 60

def entailment_or_contradiction_or_neutral(matched_socks_pairs_premise, max_matched_socks_pairs_hypothesis):
    # the hypothesis speaks about the number of John's matched socks pairs which is also mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if the number of socks pairs in the premise are greater than 'max_matched_socks_pairs_hypothesis'
    if matched_socks_pairs_premise > max_matched_socks_pairs_hypothesis:
        return False
    # the hypothesis states that John has less than 'max_matched_socks_pairs_hypothesis' pairs of socks which entails the premise that he has 'matched_socks_pairs_premise' pairs
    else:
        return True

print(entailment_or_contradiction_or_neutral(matched_socks_pairs_premise, max_matched_socks_pairs_hypothesis))
"
47,contradiction,,contradiction,"Maddie has 24 apples , if she give 12 to mike , how many does she have left ?","Maddie has 44 apples , if she give 12 to mike , how many does she have left ?","maddie has 24 apples , if she give 12 to mike , how many does she have left ?","maddie has 44 apples , if she give 12 to mike , how many does she have left ?","maddie_apples_premise = 24
maddie_apples_hypothesis = 44
apples_given_to_mike = 12

def entailment_or_contradiction_or_neutral(maddie_apples_premise, maddie_apples_hypothesis, apples_given_to_mike):
    # the hypothesis refers to the number of apples Maddie has, which is also mentioned in the premise
    # check if the hypothesis contradicts the premise by comparing the number of apples in the premise with the number of apples in the hypothesis
    if maddie_apples_premise != maddie_apples_hypothesis:
        return False
    # if the number of apples in the premise and hypothesis are the same, then the premise entails the hypothesis
    return True

print(entailment_or_contradiction_or_neutral(maddie_apples_premise, maddie_apples_hypothesis, apples_given_to_mike))
"
2095,neutral,,neutral,There are less than 78 stations between Kolkatta and Chennai,There are 28 stations between Kolkatta and Chennai,there are less than 78 stations between kolkatta and chennai,there are 28 stations between kolkatta and chennai,"max_stations_premise = 78
stations_hypothesis = 28

def entailment_or_contradiction_or_neutral(max_stations_premise, stations_hypothesis):
    # the hypothesis refers to the number of stations between two cities mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if the number of stations from the hypothesis is greater than 'max_stations_premise'
    if stations_hypothesis > max_stations_premise:
        return False
    # any number of stations less than 78 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(max_stations_premise, stations_hypothesis))
"
5111,contradiction,,contradiction,"Today Roseline , who is 50 years old , and her daughter , who is 20 years old , celebrate their birthdays","Today Roseline , who is 60 years old , and her daughter , who is 20 years old , celebrate their birthdays","today roseline , who is 50 years old , and her daughter , who is 20 years old , celebrate their birthdays","today roseline , who is 60 years old , and her daughter , who is 20 years old , celebrate their birthdays","roseline_age_premise = 50
roseline_age_hypothesis = 60
daughter_age_premise = 20
daughter_age_hypothesis = 20

def entailment_or_contradiction_or_neutral(roseline_age_premise, roseline_age_hypothesis, daughter_age_premise, daughter_age_hypothesis):
    # the hypothesis talks about the age of Roseline and her daughter
    # check if the hypothesis contradicts the premise by comparing the ages
    if roseline_age_premise != roseline_age_hypothesis or daughter_age_premise != daughter_age_hypothesis:
        return False
    # if the ages match, the hypothesis is entailed by the premise
    if roseline_age_premise == roseline_age_hypothesis and daughter_age_premise == daughter_age_hypothesis:
        return True
    # otherwise, the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(roseline_age_premise, roseline_age_hypothesis, daughter_age_premise, daughter_age_hypothesis))
"
1256,contradiction,,contradiction,The distance from Steve ' s house to work is 30 Km,The distance from Steve ' s house to work is 70 Km,the distance from steve ' s house to work is 30 km,the distance from steve ' s house to work is 70 km,"distance_work_premise = 30
distance_work_hypothesis = 70

def entailment_or_contradiction_or_neutral(distance_work_premise, distance_work_hypothesis):
    # the hypothesis refers to the same distance as the premise
    # check if the hypothesis contradicts the premise by checking if the distance in the hypothesis is different from the one in the premise
    if distance_work_premise != distance_work_hypothesis:
        return False
    # since the distances are the same, the hypothesis entails the premise
    return True

print(entailment_or_contradiction_or_neutral(distance_work_premise, distance_work_hypothesis))
"
4320,entailment,,entailment,"Mary selects a total of 10 apples and oranges from the food stand , and the average ( arithmetic mean ) price of the 10 pieces of fruit is 54 ¢","Mary selects a total of less than 40 apples and oranges from the food stand , and the average ( arithmetic mean ) price of the 10 pieces of fruit is 54 ¢","mary selects a total of 10 apples and oranges from the food stand , and the average ( arithmetic mean ) price of the 10 pieces of fruit is 54 ¢","mary selects a total of less than 40 apples and oranges from the food stand , and the average ( arithmetic mean ) price of the 10 pieces of fruit is 54 ¢","total_fruits_premise = 10
avg_price_premise = 54
max_total_fruits_hypothesis = 40
avg_price_hypothesis = 54

def entailment_or_contradiction_or_neutral(total_fruits_premise, avg_price_premise, max_total_fruits_hypothesis, avg_price_hypothesis):
    # the hypothesis refers to the total number of fruits and the average price mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if total fruits in the hypothesis are less than total fruits in the premise or average price in the hypothesis is not equal to the premise
    if max_total_fruits_hypothesis < total_fruits_premise or avg_price_hypothesis != avg_price_premise:
        return False
    # check if the hypothesis entails the premise by checking if total fruits in the hypothesis are more than total fruits in the premise and average price in the hypothesis is equal to the premise
    elif max_total_fruits_hypothesis > total_fruits_premise and avg_price_hypothesis == avg_price_premise:
        return True
    # if the hypothesis neither contradicts nor entails the premise, then it is neutral
    else:
        return None

print(entailment_or_contradiction_or_neutral(total_fruits_premise, avg_price_premise, max_total_fruits_hypothesis, avg_price_hypothesis))
"
2852,contradiction,,contradiction,"Winson earns $ 10.00 per hour for the first 40 hours he works per week , and twice this rate for overtime","Winson earns $ 10.00 per hour for the first 70 hours he works per week , and twice this rate for overtime","winson earns $ 10.00 per hour for the first 40 hours he works per week , and twice this rate for overtime","winson earns $ 10.00 per hour for the first 70 hours he works per week , and twice this rate for overtime","hours_per_week_premise = 40
hours_per_week_hypothesis = 70

def entailment_or_contradiction_or_neutral(hours_per_week_premise, hours_per_week_hypothesis):
    # the hypothesis talks about the number of hours Winson works per week for a regular pay, referenced also in the premise
    # the hypothesis contradicts the premise by stating that he works 70 hours per week for regular pay, while the premise mentions 40 hours
    if hours_per_week_hypothesis > hours_per_week_premise:
        return False
    # if the number of hours in the hypothesis would be less or equal to 40, then the hypothesis would entail the premise
    if hours_per_week_hypothesis <= hours_per_week_premise:
        return True
    # any other number of hours is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(hours_per_week_premise, hours_per_week_hypothesis))
"
1874,contradiction,,contradiction,Raviraj invested an amount of 10000000 at compound interest rate of 10 pcpa for a period of three years,Raviraj invested an amount of 30000000 at compound interest rate of 10 pcpa for a period of three years,raviraj invested an amount of 10000000 at compound interest rate of 10 pcpa for a period of three years,raviraj invested an amount of 30000000 at compound interest rate of 10 pcpa for a period of three years,"investment_premise = 10000000
investment_hypothesis = 30000000

def entailment_or_contradiction_or_neutral(investment_premise, investment_hypothesis):
    # the hypothesis refers to the investment amount mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if the investment amount in the hypothesis is not equal to the one reported in the premise
    if investment_premise != investment_hypothesis:
        return False
    # the investment amount in the hypothesis equals the one from the premise, thus the hypothesis entails the premise
    return True

print(entailment_or_contradiction_or_neutral(investment_premise, investment_hypothesis))
"
5787,entailment,,entailment,Karen places a bet with Tom that she will beat Tom in a car race by 4 miles even if Karen starts 4 minutes late,Karen places a bet with Tom that she will beat Tom in a car race by more than 1 miles even if Karen starts 4 minutes late,karen places a bet with tom that she will beat tom in a car race by 4 miles even if karen starts 4 minutes late,karen places a bet with tom that she will beat tom in a car race by more than 1 miles even if karen starts 4 minutes late,"lead_distance_premise = 4
min_lead_distance_hypothesis = 1

def entailment_or_contradiction_or_neutral(lead_distance_premise, min_lead_distance_hypothesis):
    # The hypothesis also refers to the bet about a car race mentioned in the premise
    # The hypothesis estimates the lead distance to be more than 'min_lead_distance_hypothesis'
    # Check if the hypothesis contradicts the premise by checking if the lead distance reported in the premise is less than 'min_lead_distance_hypothesis'
    if lead_distance_premise < min_lead_distance_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(lead_distance_premise, min_lead_distance_hypothesis))
"
6817,neutral,,neutral,Tina has more than 1 socks and 3 pair of shoes,Tina has 5 socks and 3 pair of shoes,tina has more than 1 socks and 3 pair of shoes,tina has 5 socks and 3 pair of shoes,"min_socks_tina_premise = 1
shoes_tina_premise = 3
socks_tina_hypothesis = 5
shoes_tina_hypothesis = 3

def entailment_or_contradiction_or_neutral(min_socks_tina_premise, shoes_tina_premise, socks_tina_hypothesis, shoes_tina_hypothesis):
    # the hypothesis talks about the number of socks and shoes Tina has, referenced also in the premise
    # check if the hypothesis contradicts the premise estimate of more than 'min_socks_tina_premise' socks, by checking if the number of socks from the hypothesis is lower or equal to 'min_socks_tina_premise'
    if socks_tina_hypothesis <= min_socks_tina_premise:
        return False
    # check if the hypothesis contradicts the premise by stating a different number of shoes
    if shoes_tina_hypothesis != shoes_tina_premise:
        return False
    # any number of socks greater than 1 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(min_socks_tina_premise, shoes_tina_premise, socks_tina_hypothesis, shoes_tina_hypothesis))
"
620,contradiction,,contradiction,"The total of the ages of Amar , Akbar and Anthony is 80 years","The total of the ages of Amar , Akbar and Anthony is less than 80 years","the total of the ages of amar , akbar and anthony is 80 years","the total of the ages of amar , akbar and anthony is less than 80 years","total_age_premise = 80
less_than_total_age_hypothesis = 80

def entailment_or_contradiction_or_neutral(total_age_premise, less_than_total_age_hypothesis):
    # the hypothesis refers to the total age mentioned in the premise
    # the hypothesis estimates the total age to be less than 'less_than_total_age_hypothesis'
    # check if the hypothesis contradicts the premise by checking if total age reported in the premise is equal or greater than 'less_than_total_age_hypothesis'
    if total_age_premise >= less_than_total_age_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(total_age_premise, less_than_total_age_hypothesis))
"
777,entailment,,entailment,"Maddie has 15 apples , if she give 8 to mike , how many does she have left ?","Maddie has less than 25 apples , if she give 8 to mike , how many does she have left ?","maddie has 15 apples , if she give 8 to mike , how many does she have left ?","maddie has less than 25 apples , if she give 8 to mike , how many does she have left ?","apples_maddie_premise = 15
apples_given_to_mike = 8
max_apples_maddie_hypothesis = 25

def entailment_or_contradiction_or_neutral(apples_maddie_premise, apples_given_to_mike, max_apples_maddie_hypothesis):
    # the hypothesis states Maddie has less than 'max_apples_maddie_hypothesis' 
    # check if the hypothesis contradicts the premise by checking if Maddie has more than 'max_apples_maddie_hypothesis' apples in the premise
    if apples_maddie_premise > max_apples_maddie_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(apples_maddie_premise, apples_given_to_mike, max_apples_maddie_hypothesis))
"
3212,contradiction,,contradiction,He works at it for 20 days and then Rajesh finished it in 30 days,He works at it for 30 days and then Rajesh finished it in 30 days,he works at it for 20 days and then rajesh finished it in 30 days,he works at it for 30 days and then rajesh finished it in 30 days,"work_days_premise = 20
work_days_hypothesis = 30
rajesh_work_days_premise = 30
rajesh_work_days_hypothesis = 30

def entailment_or_contradiction_or_neutral(work_days_premise, work_days_hypothesis, rajesh_work_days_premise, rajesh_work_days_hypothesis):
    # the hypothesis talks about the number of work days, which is also referenced in the premise
    # check if the hypothesis contradicts the premise by checking if the number of work days from the hypothesis is not equal to the work days from the premise
    if work_days_premise != work_days_hypothesis:
        return False
    # also, check if the number of days Rajesh worked on it from the hypothesis is not equal to the days from the premise
    elif rajesh_work_days_premise != rajesh_work_days_hypothesis:
        return False
    # if both conditions are met, the hypothesis is consistent with the premise
    else:
        return True

print(entailment_or_contradiction_or_neutral(work_days_premise, work_days_hypothesis, rajesh_work_days_premise, rajesh_work_days_hypothesis))
"
